,Rating,Title,Review,Review_Date
3046,5,I would say Best Phone in this Price Range.,Like1. Camera2. Display3. Charging4. Refresh Rate is also good however bit lesser than other in this Price Range.5. LooksDislike1. Finger Print is sometimes bit Slow.2. Battery Life is bit less but as charging is so fast it can cover this dislike.,18 July 2022
3047,5,Worth buy,It's awesome phone. Camera quality is good and phone is doing its all jobs perfectly 🙂 Amoled display is best.,18 August 2022
3048,5,Gud,Gud,05 September 2022
3049,4,Actually Number One Plus,Best phone in this price range,07 June 2022
3050,2,Not as promised,"Not as promised battery drains super fast, worst phone i have purchased, i would suggest to buy higher product or go with other brand",  5 November 2022
3051,5,Good phone,Excellent phone,  4 September 2022
3052,4,Ok,Dissatisfied with dual apps feature. Not supported dual apps feature in this phone,  28 May 2022
3053,5,Awesome Phone,Awesome Phone.. Love It....,  3 September 2022
3054,5,All in one package phone,Very nice phone  at this price point  very good package good battery backup camera quality is nice display is good  i love this phone,  11 August 2022
3055,5,Good choice,Good phonr,  4 September 2022
3056,4,Decent handset for you,"Decent build quality, backside glass fine awasome with blue colour, mobile designed simply perfect, everything is out of expectations in this handset, except camera quality, have to improve the camera quality in future updates others wise all are good.",  28 April 2022
3057,5,Photography,One plus mobile photo quility is goodBut battery 🔋 back-up is not good 😊,  24 August 2022
3058,4,OPNCE2Lite,"Good enough for this range of price.. finger print sensor response bit slow, battery getting heat during first charging, battery backup quite happy. Overall it's not a bad deal. I'm bit happy with it!",  6 May 2022
3059,4,Display Quality not good as compare to One plus other phone .,Display Quality not good as compare to One plus other phone .,  28 May 2022
3060,4,So---so,Product not look like One plus.....,  7 June 2022
3061,3,Mejor problem heating in light sun. If this mobile is  how to face havey sun.,"Mejor problem heating in light sun. If this mobile is  how to face havey sun. Major problem heating, camra, any application not working during the heating. Wrost",  22 July 2022
3062,5,Superb 🥰,Very Nice phone,  2 September 2022
3063,5,Nice one,Good oneWorthy for money,  3 September 2022
3064,3,Mobile is not upto the mark. Price is high for this mobile..,Camera is not upto the mark. May be they've decreased price but in the same way features also shortened as per the price. Over all 3 out of 5.,  19 July 2022
3065,5,Happy 😊,The media could not be loaded.,  20 September 2022
3066,4,Worth for money,Phone is very nice.. worth for money,  4 June 2022
3067,4,Battery problem,Battery,  12 June 2022
3068,5,Best phone under 25000 best camera best battery backup and best charging,Do it is good,  2 September 2022
3069,4,Good for middle class people.. Battery backup is good and also performance very good,Last 24 hrs i have used this phone..writing the review from my end. Good performance and good battery backup.Neee to improve camere quality this phone..Aprat from that it is good phone.,  7 May 2022
3070,5,Good phone value for money,,03 September 2022
3071,3,Not worth for this price.6 month experience,"Comparing to my previous samsung phone lower price than this phone, Photo quality of this phone is very bad.Better camera phones available in lower price than this. Amo led display is only in name.Fast charging is the only one quality of this phone.Better go for realme phones.",07 July 2022
3072,4,Heating problem is there in Mobile.,Heating problem is there in mobile ... I replaced the item and got another one both one has same heating problem. In start battery backup is good but after sometime it is little bit down.,29 April 2022
3073,5,Nice cover,Nice cover,04 September 2022
3074,5,Overall nice package in this price point,"Camera quality is average. Feels very good while using. Battery upto mark. Display very good. Phone overall look very good. Some bugs are there such as while gaming a notification regarding cpu, GPU, and graphics constantly popping down. Dual volte icon problem.",25 July 2022
3075,3,Battery backup is very poor,Overall phone is decent no as such issues. Battery drain fast although it got quickly charged too.,25 July 2022
3076,3,Could be improved,"I really loved the product it killed in performance, battery life and camera but there were tiny bits where improvement can be made like the fingerprint scanner is slow, gliding through UI feels slow and it doesn't come with Android 12.",19 July 2022
3077,4,Battery life is low .,I used this phone from last 2 months and it's really good.,27 May 2022
3078,4,Camara could have been better otherwise phone is decent ✌🏻,Phone is decent in but camara is below average in this price segment could have been better but i got this deal in 17k because of exchange of old phone make this deal awesome but if I speak in 24k you can choose more feature loaded smartphone compared to nord CE2 ✌🏻,04 April 2022
3079,3,Mobile ok but little bit hanging problem started after 4 months,Fingerprint ok battery life average not more than 10 hours per day,29 July 2022
3080,5,build quality is good,good camera,05 September 2022
3081,4,Good phone,Nice phone with brand value,06 June 2022
3082,4,One plus gives low budget phone with low level camera lenses and other some compromised components,Inbuilt radio not seen along with lack of stereo sound speakers and low level camera lense quality used for night photography. Needs to improve it in future updates. Days photos are good one. Battery is good one. I like it.,23 April 2022
3083,5,Best till now,,03 September 2022
3084,5,Even in 20% battery phone performance is good,Even in 20% battery phone performance is good,29 August 2022
3085,5,Very fast service,Good,03 September 2022
3086,5,Best,Amazing,04 September 2022
3087,4,Very good mobile phone,I Like,12 June 2022
3088,4,Good one at this price range.,Can't install one plus stock phone app which was very good compared Google phone app. Other things are ok.,22 May 2022
3089,4,worth to buy at this price range,"MediaTek Dimensity 900 works ok and sometime faces little bit hanging issueCall of duty works smoothly with medium graphics settingFingerprint works very wellDevice have many 5g band supportRear camera quality is ok and selfy camera is goodBattery life is goodFast charger takes aprrox 35-40min to chargeBuild quality is good and also good lookingOxygenOS based on Android 11, no bloatware and clean UI",06 March 2022
3090,5,Good product,Good product,03 September 2022
3091,5,Not to say anything,👍,03 September 2022
3092,5,Nice phone and good budget phone from OnePlus,Release snapdragon mobiles in mid range phones and not mediatek software,26 August 2022
